        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2017-03-30 18:15:40 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:41 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:42 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:43 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:44 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:45 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:46 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:47 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:48 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:49 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:50 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:51 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:52 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:53 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:54 ,             1097.5   ,               1252.8   ,               52.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:55 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:56 ,             1097.5   ,               1252.8   ,               52.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:57 ,             1097.5   ,               1252.8   ,               52.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:58 ,             1097.5   ,               1252.8   ,               52.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:59 ,              796.6   ,                400.0   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:00 ,              796.6   ,                400.0   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:01 ,              231.4   ,                202.5   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:02 ,              231.4   ,                202.5   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:03 ,              231.4   ,                202.5   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:04 ,              135.0   ,                202.5   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:05 ,              135.0   ,                202.5   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:06 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:07 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:08 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:09 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:10 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:11 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:12 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:13 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:14 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:15 ,              135.0   ,                202.5   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:16 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:17 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:19 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:19 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:20 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:21 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:22 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:23 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:24 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:25 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:26 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:27 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:28 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:29 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:30 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:31 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:32 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:34 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:34 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:35 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:36 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:37 ,              135.0   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:38 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:39 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:40 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:41 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:42 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:43 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:44 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:45 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:46 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:47 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:48 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:49 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:50 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:51 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:52 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:53 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:54 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:55 ,              135.0   ,                202.5   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:56 ,              135.0   ,                202.5   ,               46.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:16:57 ,              135.0   ,                202.5   ,               46.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
