n00001740	entity
n00059895	dodge
n00059989	break, breakout, jailbreak, gaolbreak, prisonbreak, prison-breaking
n00060201	getaway, lam
n00060414	exodus, hegira, hejira
n00060548	Hegira, Hejira
n00060747	skedaddle
n00060817	Underground Railroad, Underground Railway
n00061014	close call, close shave, squeak, squeaker, narrow escape
n00061171	surfacing
n00061290	dispatch, despatch, shipment
n00061453	reshipment
n00061598	consummation
n00061792	consummation
n00061917	realization, realisation, fruition
n00062133	orgasm, climax, sexual climax, coming
n00062331	male orgasm
n00062451	fulfillment, fulfilment
n00062671	self-fulfillment, self-realization, self-realisation
n00062806	attainment
n00063014	record
n00063310	track record
n00063559	world record
n00063652	success
n00064018	winning
n00064151	blockbuster, megahit, smash hit
n00064370	sleeper
n00064504	hit, smash, smasher, strike, bang
n00064789	bell ringer, bull's eye, mark, home run
n00065098	ennoblement
n00065216	conquest
n00065336	coup
n00065418	flying colors, flying colours
n00065575	passing, pass, qualifying
n00065855	credit, course credit
n00066075	semester hour, credit hour
n00066216	nonaccomplishment, nonachievement
n00066397	failure
n00066636	failure
n00066901	failing, flunk
n00067153	naught
n00067254	cut
n00067397	default
n00067526	loss
n00067707	capitulation, fall, surrender
n00067990	frustration, thwarting, foiling
n00068170	overturn, upset
n00068333	backsliding, lapse, lapsing, relapse, relapsing, reversion, reverting
n00068617	recidivism
n00068755	disappointment, dashing hopes
n00068901	breach
n00069060	copout
n00069173	breach of contract
n00069444	anticipatory breach, constructive breach
n00069604	breach of duty
n00069685	breach of the covenant of warranty
n00069815	breach of promise
n00069918	breach of trust
n00070077	breach of trust with fraudulent intent
n00070215	breach of warranty
n00070363	leaning
n00070462	material breach
n00070641	motivation, motivating
n00070807	partial breach
n00070965	mistake, error, fault
n00071546	double fault
n00071700	footfault
n00071864	bobble
n00072068	error, misplay
n00072261	blot, smear, smirch, spot, stain
n00072473	confusion, mix-up
n00072691	incursion
n00072808	miscalculation, misreckoning, misestimation
n00073032	backfire, boomerang
n00073177	rounding, rounding error
n00073525	truncation error
n00073713	distortion
n00073828	slip, slip-up, miscue, parapraxis
n00074092	Freudian slip
n00074324	offside
n00074524	oversight, lapse
n00074624	omission, skip
n00074790	blunder, blooper, bloomer, bungle, pratfall, foul-up, fuckup, flub, botch, boner, boo-boo
n00075283	snafu
n00075471	spectacle
n00075618	ballup, balls-up, cockup, mess-up
n00075790	bull
n00075912	fumble, muff
n00076072	fluff
n00076196	faux pas, gaffe, solecism, slip, gaucherie
n00076323	howler
n00076393	clanger
n00076563	trip, trip-up, stumble, misstep
n00076884	spill, tumble, fall
n00077169	pratfall
n00077249	wipeout
n00077419	acquisition
n00077856	obtainment, obtention
n00077981	catching, contracting
n00078217	incurring
n00078393	moneymaking
n00078536	annexation
n00078821	pork-barreling
n00079018	purchase
n00079212	redemption, repurchase, buyback
n00079398	trading
n00079603	bond trading, bond-trading activity
n00079752	program trading
n00079908	short sale, short selling
n00080096	short covering
n00080242	insider trading
n00080474	naked option
n00080619	covered option
n00080743	call option, call
n00080968	put option, put
n00081174	straddle
n00081395	incentive option, incentive stock option
n00081572	buying, purchasing
n00081836	shopping
n00082081	marketing
n00082223	mail-order buying, catalog buying
n00082347	viatication, viaticus
n00082525	acceptance
n00082754	succession, taking over
n00082870	assumption, laying claim
n00083260	assumption
n00083448	position
n00083585	inheritance, heritage
n00083729	procurement, procurance, procural
n00083975	appropriation
n00084371	borrowing, adoption
n00084642	naturalization, naturalisation
n00084895	misappropriation
n00085041	preemption, pre-emption
n00085219	seizure
n00085432	usurpation
n00085678	confiscation, arrogation
n00085829	distress, distraint
n00086140	expropriation
n00086297	impoundment, impounding, internment, poundage
n00086547	drug bust, drugs bust
n00086654	impress, impressment
n00086809	occupation, occupancy, moving in
n00087073	preoccupancy, preoccupation
n00087218	sequestration, requisition
n00087423	grant, subsidization, subsidisation
n00087663	award, awarding
n00087849	addiction
n00088154	block grant
n00088367	grant-in-aid
n00088481	capture, gaining control, seizure
n00088725	apprehension, arrest, catch, collar, pinch, taking into custody
n00089027	conquest, conquering, subjection, subjugation
n00089234	enslavement
n00089351	restitution, return, restoration, regaining
n00089657	clawback
n00089891	repossession
n00090076	foreclosure
n00090253	reception, receipt
n00090393	appointment
n00090610	comb-out
n00090779	giving
n00091013	abandonment
n00091234	discard, throwing away
n00091404	staging
n00091503	discard
n00091670	mine disposal
n00091779	minesweeping
n00091893	sewage disposal
n00091977	bait and switch
n00092212	private treaty
n00092366	auction, auction sale, vendue
n00092663	bootlegging
n00092847	bootlegging
n00093006	capitalization, capitalisation
n00093127	overcapitalization, overcapitalisation
n00093354	reclamation
n00093483	rescue, deliverance, delivery, saving
n00093874	lifesaving
n00094001	redemption, salvation
n00094240	absolution, remission, remittal, remission of sin
n00094500	indulgence
n00094788	conversion, rebirth, spiritual rebirth
n00094954	proselytism
n00095121	expiation, atonement, propitiation
n00095329	reparation, amends
n00095502	liberation, release, freeing
n00095873	jail delivery
n00095971	reclamation, reformation
n00096211	salvage
n00096343	salvage
n00096513	salvation
n00096720	search and rescue mission
n00096851	ransom
n00096969	recapture, retaking
n00097122	recapture
n00097244	invocation
n00097348	instrumentation
n00097504	performance, execution, carrying out, carrying into action
n00097923	specific performance
n00098051	linguistic performance
n00098385	mechanism, mechanics
n00098625	service
n00098822	curb service
n00098939	self-service
n00099061	valet parking
n00099267	dramatic production, dramatic performance
n00099439	encore
n00099588	extemporization, extemporisation, improvisation
n00099799	juggle, juggling
n00099951	magic trick, conjuring trick, trick, magic, legerdemain, conjuration, thaumaturgy, illusion, deception
n00100253	musical performance
n00100437	one-night stand
n00100543	rendition, rendering, interpretation
n00100889	reinterpretation
n00101003	spin
n00101191	playing
n00101410	bowing
n00101570	spiccato, spiccato bowing
n00101708	piping
n00101809	stopping
n00102039	double stopping
n00102162	transposition
n00102374	jam session
n00102457	automation, mechanization, mechanisation
n00102779	computerization, cybernation
n00102927	motorization, motorisation
n00103140	launching, launch
n00103291	launching
n00103419	rocket firing, rocket launching
n00103590	blastoff, shot
n00103737	moon shot
n00103834	drive, thrust, driving force
n00104088	firewall
n00104249	impulse, impulsion, impetus
n00104409	roll, bowl
n00104539	throw
n00104976	bowling
n00105164	fling
n00105271	heave, heaving
n00105479	hurl, cast
n00105624	leaner
n00105820	pass, toss, flip
n00106104	pitch
n00106272	pitch, delivery
n00106726	ringer
n00106888	shy
n00107016	slinging
n00107137	throw-in
n00107279	balk
n00107400	ball
n00107551	beanball, beaner
n00107684	change-up, change-of-pace, change-of-pace ball, off-speed pitch
n00107875	curve, curve ball, breaking ball, bender
n00108081	duster
n00108181	fastball, heater, smoke, hummer, bullet
n00108427	knuckleball, knuckler
n00108545	overhand pitch
n00108665	passed ball
n00108818	screwball
n00108965	sinker
n00109081	slider
n00109227	spitball, spitter
n00109414	strike
n00109771	submarine ball, submarine pitch
n00109892	wild pitch
n00110057	basketball shot
n00110415	bank shot
n00110554	dunk, dunk shot, stuff shot
n00110745	slam dunk
n00110834	finger-roll
n00110964	foul shot, free throw, penalty free throw, charity toss, charity throw, charity shot
n00111222	one-and-one
n00111358	hook shot, hook
n00111503	jumper, jump shot
n00111660	lay-up, layup
n00111839	pivot shot
n00111962	set shot
n00112072	scoop shot
n00112185	tip in
n00112312	push, pushing
n00112674	depression
n00112828	click, mouse click
n00112997	nudge, jog
n00113113	press, pressure, pressing
n00113532	impression
n00113726	shove
n00113954	bundling
n00114095	jostle, jostling
n00114298	elbowing
n00114431	pull, pulling
n00114871	drag
n00115036	draw, haul, haulage
n00115292	tow, towage
n00115500	tug, jerk
n00115667	draft, draught, drawing
n00115803	extirpation, excision, deracination
n00116008	pluck
n00116122	traction
n00116376	lift, raise, heave
n00116687	expulsion, projection, ejection, forcing out
n00116989	defenestration
n00117124	accommodation reflex
n00117267	Babinski, Babinski reflex, Babinski sign
n00117578	belch, belching, burp, burping, eructation
n00117810	belching
n00117959	blink, eye blink, blinking, wink, winking, nictitation, nictation
n00118268	blush, flush
n00118445	coughing up
n00118552	spit, spitting, expectoration
n00118733	vomit, vomiting, emesis, regurgitation, disgorgement, puking
n00119079	rumination
n00119210	hematemesis, haematemesis
n00119297	hyperemesis
n00119402	hyperemesis gravidarum
n00119568	jump, jumping
n00119893	header
n00120010	hop
n00120202	leap, leaping, spring, saltation, bound, bounce
n00120515	vault, hurdle
n00120647	jumping up and down
n00120804	lob
n00120943	centering, snap
n00121166	sending
n00121366	transmission, transmittal, transmitting
n00121645	forwarding
n00121904	referral
n00122106	remission, remitment, remit
n00122338	mailing, posting
n00122530	wheeling, rolling
n00122661	shooting, shot
n00122954	shoot
n00123143	countershot
n00123234	discharge, firing, firing off
n00123430	gun
n00123652	fire control
n00123783	gunfire, gunshot
n00124008	enfilade, enfilade fire
n00124151	snipe
n00124256	headshot
n00124342	skeet, skeet shooting, trapshooting
n00124536	shellfire
n00124617	gunfight, gunplay, shootout
n00124766	potshot
n00124880	contact, physical contact
n00125126	rub, wipe
n00125315	scuff
n00125436	tap, pat, dab
n00125629	hit, hitting, striking
n00126100	contusion
n00126236	crash, smash
n00126447	impingement, impaction
n00126584	batting
n00126721	fielding
n00126886	catching
n00127021	golfing
n00127151	pitching
n00127286	base on balls, walk, pass
n00127531	best
n00127672	worst
n00127866	fair ball
n00128091	foul ball
n00128324	snick
n00128477	bunt
n00128638	fly, fly ball
n00128867	blast
n00128976	pop fly, pop-fly, pop-up
n00129089	grounder, ground ball, groundball, hopper
n00129317	chop, chopper
n00129435	roller
n00129527	out
n00129743	force out, force-out, force play, force
n00130093	putout
n00130347	strikeout
n00130512	whiff
n00130673	fielder's choice
n00130846	sacrifice
n00130987	sacrifice fly
n00131090	base hit, safety
n00131347	daisy cutter
n00131485	header
n00131608	liner, line drive
n00131791	scorcher, screamer
n00131877	line-drive single, line single
n00131991	line-drive double, line double
n00132105	line-drive triple, line triple
n00132219	plunk, plunker
n00132355	homer, home run
n00132497	solo homer, solo blast
n00132601	single, bingle
n00132756	double, two-base hit, two-bagger, two-baser
n00132982	triple, three-base hit, three-bagger
n00133160	backhander
n00133234	clip
n00133338	knock, belt, rap, whack, whang
n00133567	thwack
n00133668	smack, smacking, slap
n00133875	smacker
n00133981	knockdown
n00134099	knockout, KO, kayo
n00134246	technical knockout, TKO
n00134391	swat
n00134472	spank
n00134574	whip, lash, whiplash
n00134780	punch, clout, poke, lick, biff, slug
n00135148	box
n00135311	dig, jab
n00135504	counterpunch, parry, counter
n00135637	haymaker, knockout punch, KO punch, Sunday punch
n00135799	hook
n00135952	jab
n00136048	rabbit punch
n00136152	sucker punch
n00136230	roundhouse
n00136329	kick, boot, kicking
n00136691	goal-kick
n00136876	goal-kick
n00136984	punt, punting
n00137279	place kick, place-kicking
n00137534	free kick
n00137709	corner kick
n00137877	dropkick
n00138078	kiss
n00138221	kiss, buss, osculation
n00138441	laying on
n00138599	smack, smooch
n00138734	smacker
n00138799	soul kiss, deep kiss, French kiss
n00138956	catch, grab, snatch, snap
n00139544	fair catch
n00139758	interception
n00139919	reception
n00140112	rebound
n00140264	shoestring catch
n00140393	mesh, meshing, interlock, interlocking
n00140652	handling, manipulation
n00140900	fingering
n00141027	grope
n00141176	audit
n00141396	autopsy, necropsy, postmortem, post-mortem, PM, postmortem examination, post-mortem examination
n00141669	check-in
n00141806	check, checkout, check-out procedure
n00142140	spot check
n00142361	checkup, medical checkup, medical examination, medical exam, medical, health check
n00142665	comparison, comparing
n00143057	fine-tooth comb, fine-toothed comb
n00143251	follow-up, followup, reexamination, review
n00143536	going-over
n00143626	once-over, look-over
n00143763	ophthalmoscopy
n00143885	palpation, tactual exploration
n00144182	ballottement
n00144445	tickle, tickling, titillation
n00144632	stroke, stroking
n00144778	caress
n00145024	tag
n00145218	joining, connection, connexion
n00145779	hit
n00145929	interconnection
n00146111	intersection
n00146277	approximation, bringing close together
n00146443	concatenation
n00146572	convergence, converging, convergency
n00146856	merging, meeting, coming together
n00147091	concourse, confluence
n00147187	encounter, coming upon
n00147314	articulation
n00147454	junction, adjunction
n00147595	fastening, attachment
n00147862	loosening, laxation
n00148057	tightening
n00148242	ligation
n00148446	tubal ligation
n00148653	bonding, soldering
n00148762	doweling
n00148836	grounding, earthing
n00148978	linkage
n00149084	tying, ligature
n00149262	untying, undoing, unfastening
n00149508	welding
n00149699	butt welding, butt-welding
n00149895	spot welding, spot-welding
n00150097	flare
n00150228	Texas leaguer
n00150379	flash welding, flash butt welding
n00150591	lick, lap
n00150762	grazing, shaving, skimming
n00150932	tracing
n00151087	detection, catching, espial, spying, spotting
n00151314	self-discovery
n00151409	breakthrough
n00151497	determination, finding
n00151914	rediscovery
n00152018	designation, identification
n00152230	Bertillon system
n00152338	fingerprinting
n00152519	genetic profiling, genetic fingerprinting
n00152727	diagnosis, diagnosing
n00152990	blood typing
n00153105	medical diagnosis
n00153288	prenatal diagnosis
n00153499	differential diagnosis
n00153665	prognosis, prospect, medical prognosis
n00153809	resolution, solving
n00153961	validation, proof, substantiation
n00154233	authentication, certification
n00154433	documentation, support
n00154689	monetization, monetisation
n00154894	probate
n00155085	demonetization, demonetisation
n00155298	falsification, falsifying, disproof, refutation, refutal
n00155487	localization, localisation, location, locating, fix
n00155797	echolocation, echo sounding
n00155970	predetermination
n00156119	rectification
n00156293	redetermination
n00156390	trigger, induction, initiation
n00156625	fomentation, instigation
n00156812	compulsion, coercion
n00157081	influence
n00157318	cross-pollination
n00157463	exposure
n00157687	overexposure
n00157877	underexposure
n00157957	impingement, encroachment, impact
n00158185	manipulation, use
n00158443	mind game
n00158805	autosuggestion, auto-suggestion, self-suggestion
n00158996	hypnotism, mesmerism, suggestion
n00159177	inducement, inducing
n00159396	corruption
n00159620	enticement, temptation
n00159899	blandishment, wheedling
n00160073	ingratiation, insinuation
n00160297	leading astray, leading off
n00160415	seduction
n00160532	seduction, conquest
n00160688	sexual conquest, score
n00160922	cuckoldry
n00161044	solicitation, allurement
n00161243	choice, selection, option, pick
n00161603	casting
n00161739	coloration, colouration
n00161888	sampling
n00162055	random sampling
n00162236	lucky dip
n00162417	stratified sampling, representative sampling, proportional sampling
n00162632	decision, determination, conclusion
n00163047	volition, willing
n00163233	intention
n00163406	about-face, volte-face, reversal, policy change
n00163630	adulteration
n00163779	appointment, assignment, designation, naming
n00164152	nomination
n00164345	assignment, assigning
n00164579	allocation, storage allocation
n00164801	call
n00164999	co-option, co-optation
n00165178	delegacy
n00165298	ordination, ordinance
n00165563	recognition
n00165793	laying on of hands
n00165942	move
n00166172	move
n00166355	chess move
n00166552	castle, castling
n00166702	capture
n00166865	en passant
n00167063	exchange
n00167278	exchange
n00167446	check
n00167580	discovered check
n00167764	checkmate, mate
n00167950	gambit
n00168121	demarche
n00168237	maneuver, manoeuvre, tactical maneuver, tactical manoeuvre
n00168505	parking
n00168658	move, relocation
n00168911	flit
n00169047	downshift
n00169147	downshift
n00169305	bank
n00169522	vertical bank
n00169651	chandelle
n00169811	loop, loop-the-loop
n00170005	inside loop
n00170172	outside loop
n00170340	roll
n00170536	barrel roll
n00170643	snap roll
n00170710	slip, sideslip
n00170844	flight maneuver, airplane maneuver
n00171050	straight-arm
n00171249	device, gimmick, twist
n00171507	mnemonic
n00171618	trick, fast one
n00171882	shtik, schtik, shtick, schtick
n00172073	feint
n00172217	juke, fake
n00172347	footwork
n00172490	ploy, gambit, stratagem
n00172598	ruse, artifice
n00172710	means, agency, way
n00173172	dint
n00173283	escape
n00173487	fast track
n00173761	instrument, tool
n00174003	road
n00174127	royal road
n00174260	stepping stone
n00174412	measure, step
n00174663	countermeasure
n00174782	bear hug
n00174950	proxy fight
n00175174	leveraged buyout
n00175433	bust-up takeover
n00175605	shark repellent, porcupine provision
n00175875	golden parachute
n00176052	greenmail
n00176312	pac-man strategy
n00176449	poison pill
n00176609	suicide pill
n00176766	safe harbor
n00176994	scorched-earth policy
n00177127	diagnostic procedure, diagnostic technique
n00177448	expedient
n00177638	backstop
n00177783	emergency procedure
n00178024	experimental procedure
n00178177	double-blind procedure, double-blind experiment, double-blind study
n00178551	makeshift, stopgap, make-do
n00178700	crutch
n00178832	improvisation, temporary expedient
n00178972	pis aller, last resort
n00179125	desperate measure
n00179275	open sesame
n00179380	salvation
n00179576	tooth
n00179683	voice
n00179916	wings
n00180054	casting lots, drawing lots, sortition
n00180228	resolution
n00180413	adoption, acceptance, acceptation, espousal
n00180770	embrace, bosom
n00180962	election
n00181191	co-option, co-optation
n00181373	reelection
n00181495	plebiscite
n00181640	referendum
n00181781	election
n00182213	vote
n00182435	general election
n00182571	primary, primary election
n00182723	direct primary
n00182897	closed primary
n00183084	open primary
n00183240	by-election, bye-election
n00183357	runoff
n00183505	vote, ballot, voting, balloting
n00183995	block vote
n00184135	cumulative vote
n00184362	secret ballot
n00184501	split ticket
n00184652	straight ticket
n00184802	multiple voting
n00184981	casting vote
n00185104	reconciliation, balancing
n00185307	equation, equating
n00185438	breech delivery, breech birth, breech presentation
n00185612	frank breech, frank breech delivery
n00185778	cesarean delivery, caesarean delivery, caesarian delivery, cesarean section, cesarian section, caesarean section, caesarian section, C-section, cesarean, cesarian, caesarean, caesarian, abdominal delivery
n00186251	forceps delivery
n00186549	midwifery
n00186634	score
n00187056	bowling score
n00187144	bull's eye
n00187337	goal
n00187499	own goal
n00187710	strike, ten-strike
n00187890	spare
n00188007	open frame, break
n00188183	audible
n00188341	football score
n00188449	touchback
n00188620	safety
n00188766	touchdown
n00188934	field goal
n00189106	conversion
n00189257	point after, point after touchdown, extra point
n00189476	baseball score
n00189565	run, tally
n00189896	earned run
n00190040	unearned run
n00190180	run batted in, rbi
n00190338	basketball score
n00190431	basket, field goal
n00190579	hat trick
n00190783	solution
n00190931	Russian roulette
n00191142	change
n00191980	filtration
n00192149	percolation
n00192300	reduction, simplification
n00192457	schematization, schematisation
n00192613	economy, saving
n00192910	retrenchment, curtailment, downsizing
n00193099	economy of scale
n00193225	accommodation
n00193406	adaptation
n00193622	dark adaptation
n00193811	light adaptation
n00194005	take-up
n00194127	readjustment
n00194257	domestication
n00194414	decimalization, decimalisation
n00194645	metrification, metrication
n00194831	habituation
n00194969	variation, variance
n00195194	variation
n00195415	turning
n00195569	diversification, variegation
n00195938	flux
n00196084	switch, switching, shift
n00196402	switcheroo
n00196485	substitution, exchange, commutation
n00196848	novation
n00197136	pitching change
n00197229	superannuation
n00197419	supersedure, supersession
n00197610	supplanting, displacement
n00197772	replacement, replacing
n00198118	subrogation
n00198270	weaning, ablactation
n00198451	promotion
n00198631	preferment
n00198793	demotion
n00198919	investment, investiture
n00199130	change of state
n00199707	alteration, modification, adjustment
n00200041	distraction, misdirection
n00200244	aeration
n00200379	modulation
n00200563	qualification
n00200768	reorganization
n00201058	passage, transition
n00201269	fossilization, fossilisation
n00201397	segue
n00201516	meddling, tampering
n00201671	transfer, transference
n00201923	prohibition, inhibition, forbiddance
n00202284	resistance, opposition
n00202620	lockout
n00202816	reaction
n00203020	backlash
n00203208	whitelash, white backlash
n00203342	rejection
n00203649	brush-off
n00203753	avoidance, turning away, shunning, dodging
n00204022	aversion, averting
n00204199	escape
n00204334	near thing
n00204439	abandonment, forsaking, desertion
n00204659	exposure
n00204814	apostasy, tergiversation
n00204943	bolt
n00205079	renunciation, forgoing, forswearing
n00205349	nonacceptance, turndown
n00205543	forsaking, giving up
n00205649	abnegation, self-abnegation, denial, self-denial, self-renunciation
n00205891	forfeit, forfeiture, sacrifice
n00206130	boycott
n00206302	banishment, proscription
n00206600	anathematization, anathematisation
n00206779	disbarment
n00206927	ejection, exclusion, expulsion, riddance
n00207306	deportation
n00207434	ostracism
n00207622	barring, blackball
n00207761	exile, deportation, expatriation, transportation
n00208141	Babylonian Captivity
n00208277	excommunication, excision
n00208521	relegation
n00208694	rustication
n00208797	ouster, ousting
n00208943	deposition, dethronement
n00209132	suspension, temporary removal
n00209301	rustication
n00209446	displacement
n00209546	veto
n00209680	pocket veto
n00209789	write-in
n00209943	termination, ending, conclusion
n00210518	finish, finishing
n00210797	finale, close, closing curtain, finis
n00210940	release, tone ending
n00211110	completion, culmination, closing, windup, mop up
n00211462	finalization, finalisation
n00211593	follow-through
n00211776	follow-through
n00212065	graduation
n00212205	retirement
n00212377	hibernation
n00212551	rustication
n00212678	swan song, last hurrah
n00212808	relinquishment, relinquishing
n00213052	cession, ceding
n00213186	handover
n00213343	surrender
n00213482	extradition
n00213694	release, waiver, discharge
n00213903	exemption, immunity, granting immunity
n00214148	fix
n00214315	official immunity
n00214526	sovereign immunity
n00214794	transactional immunity
n00215013	use immunity, testimonial immunity
n00215314	dissolution, breakup
n00215534	splitsville
n00215683	overthrow
n00215838	subversion, subversive activity
n00216038	adjournment, dissolution
n00216174	dismissal, dismission, discharge, firing, liberation, release, sack, sacking
n00216607	conge, congee
n00216723	removal
n00216834	purge
n00217014	destruction, devastation
n00217499	disaster
n00217593	kill
n00217773	laying waste, ruin, ruining, ruination, wrecking
n00218045	razing, leveling, tearing down, demolishing
n00218208	annihilation, obliteration
n00218427	decimation
n00218602	atomization, atomisation
n00218753	pulverization, pulverisation
n00218902	vaporization, vaporisation
n00219012	killing, kill, putting to death
n00219463	deathblow, coup de grace
n00219575	death
n00219738	drive-by killing
n00219856	euthanasia, mercy killing
n00220023	homicide
n00220219	honor killing
n00220409	manslaughter
n00220522	murder, slaying, execution
n00221056	assassination
n00221178	bloodshed, gore
n00221343	chance-medley
n00221480	contract killing
n00221596	parricide
n00221727	mariticide
n00221819	matricide
n00221900	patricide
n00221981	fratricide
n00222064	uxoricide
n00222155	filicide
n00222248	dispatch, despatch
n00222376	fell
n00222485	suicide, self-destruction, self-annihilation
n00222766	self-destruction
n00222939	assisted suicide
n00223144	physician-assisted suicide
n00223268	felo-de-se
n00223362	harakiri, hara-kiri, harikari, seppuku
n00223575	suttee
n00223720	elimination, liquidation
n00223854	slaughter
n00223983	slaughter, massacre, mass murder, carnage, butchery
n00224260	bloodbath, bloodletting, bloodshed, battue
n00224599	lynching
n00224738	poisoning
n00224936	gassing
n00225070	regicide
n00225150	shooting
n00225361	drive-by shooting
n00225484	wing shooting
n00225593	suffocation, asphyxiation
n00225786	choking, strangling, strangulation, throttling
n00226107	spasm
n00226319	squeeze
n00226511	bronchospasm
n00226711	cardiospasm
n00226951	heave, retch
n00227137	laryngismus
n00227264	strangulation
n00227484	carjacking
n00227595	sacrifice, ritual killing
n00227848	hecatomb
n00227969	immolation
n00228078	electrocution
n00228181	decapitation, beheading
n00228283	abolition, abolishment
n00228535	liquidation, settlement
n00228762	viatical settlement, viaticus settlement
n00228911	withdrawal, drug withdrawal
n00229034	cold turkey
n00229260	closure, closedown, closing, shutdown
n00229587	plant closing
n00229688	bank closing
n00229814	layoff
n00229934	extinction, extinguishing, quenching
n00230172	fade, disappearance
n00230324	abortion
n00230475	spontaneous abortion, miscarriage, stillbirth
n00230703	habitual abortion
n00230824	imminent abortion, threatened abortion
n00230997	incomplete abortion, partial abortion
n00231161	induced abortion
n00231315	aborticide, feticide
n00231412	therapeutic abortion
n00231567	nullification, override
n00231887	abrogation, repeal, annulment
n00232147	derogation
n00232386	cancellation
n00232604	write-off
n00232765	attainder, civil death
n00232863	recission, rescission
n00233212	vitiation
n00233386	neutralization, neutralisation, counteraction
n00233614	deactivation, defusing
n00233795	deactivation, inactivation
n00233980	honorable discharge
n00234105	dishonorable discharge
n00234277	Section Eight
n00234423	neutralization, neutralisation
n00234675	neutralization, neutralisation
n00234892	reversal
n00235074	undoing
n00235208	regression, regress, reversion, retrogression, retroversion
n00235435	beginning, start, commencement
n00236194	springboard, jumping-off point, point of departure
n00236581	accession, rise to power
n00236821	activation
n00236953	attack, tone-beginning
